County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Codington,South Dakota,28015,6724,4949,481,1669,1013,17,2032,9404,3115,2082,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,6.8,PASS
Custer,South Dakota,8726,1343,2621,96,568,450,5,953,3335,853,830,0,0,0,0,A,2,1,0,0,1.2,C,3.6,PASS
Hughes,South Dakota,17650,4251,3057,304,1051,632,10,1264,5914,1590,3212,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,4,PASS
Jackson,South Dakota,3307,1105,442,79,173,97,2,192,967,1070,2003,0,0,0,0,A,3,0,0,0,1,C,3.7,PASS
Meade,South Dakota,28294,6463,4316,463,1721,940,17,1849,9567,2309,3665,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Minnehaha,South Dakota,192876,49051,25229,3511,11371,5934,114,11455,62848,18035,35825,4,0,0,1.3,C,0,0,0,0,0,A,5.9,PASS
Pennington,South Dakota,111729,25603,20087,1832,6753,4072,66,8179,38016,14567,22323,DNC,DNC,DNC,DNC,DNC,6,1,0,0,2.5,D,6.8,PASS
Union,South Dakota,15619,3779,2832,270,927,574,9,1155,5238,915,1257,2,0,0,0.7,B,2,0,0,0,0.7,B,6.2,PASS
Anderson,Tennessee,76482,16078,15356,1566,6003,6909,55,8161,27938,12433,8366,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Blount,Tennessee,131349,26559,26575,2587,10429,12028,95,14202,48512,12816,12028,5,0,0,1.7,C,1,2,0,0,1.3,C,7.8,PASS
Claiborne,Tennessee,31756,6060,6334,590,2544,2896,23,3399,11836,7129,1496,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Davidson,Tennessee,692587,144027,84795,14027,52537,52557,501,56480,242197,102623,303675,8,1,0,3.2,D,2,0,0,0,0.7,B,8.4,PASS
DeKalb,Tennessee,20138,4351,3699,424,1571,1789,15,2082,7280,3435,2531,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dyer,Tennessee,37320,8927,6566,869,2806,3149,27,3653,13019,6735,7549,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.9,PASS
Hamilton,Tennessee,364286,75645,64030,7367,28313,31175,264,35859,131428,46021,105494,5,0,0,1.7,C,0,1,0,0,0.5,B,8.3,PASS
Jefferson,Tennessee,54012,10618,10818,1034,4328,4995,39,5881,20102,7241,4307,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Knox,Tennessee,465289,97591,73661,9505,35804,38307,337,43213,165829,59817,82453,3,0,0,1,C,2,3,0,0,2.2,D,9.3,PASS
Lawrence,Tennessee,43734,10932,7794,1065,3248,3676,32,4287,15084,7643,2822,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.6,PASS
Loudon,Tennessee,53054,10295,14026,1003,4279,5223,39,6482,20171,4754,6681,8,0,0,2.7,D,0,2,0,0,1,C,7.4,PASS
McMinn,Tennessee,53285,11306,10458,1101,4177,4802,39,5651,19413,8307,5825,DNC,DNC,DNC,DNC,DNC,0,1,0,0,0.5,B,8.1,PASS
Madison,Tennessee,97605,21872,16615,2130,7444,8212,70,9430,34515,16631,43222,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.7,PASS
Maury,Tennessee,94340,22094,15014,2152,7114,7808,68,8886,32888,10032,19819,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.9,PASS
Montgomery,Tennessee,205950,54985,19005,5355,14325,13727,150,14232,65815,24251,76668,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.9,PASS
Putnam,Tennessee,78843,16455,13134,1603,6043,6452,57,7334,28094,10996,9378,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.2,PASS
Roane,Tennessee,53140,9981,12108,972,4337,5169,39,6222,20223,7779,3928,DNC,DNC,DNC,DNC,DNC,0,1,0,0,0.5,B,7.6,PASS
Sevier,Tennessee,97892,20173,19341,1965,7742,8916,71,10492,35969,13466,10050,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Shelby,Tennessee,935764,232721,127099,22665,68612,72650,675,80599,316259,198554,602781,17,1,0,6.2,F,0,0,0,0,0,A,8.4,PASS
Sullivan,Tennessee,157668,30362,34529,2957,12684,14830,114,17731,59195,25549,10570,3,0,0,1,C,1,0,0,0,0.3,B,7.3,PASS
Sumner,Tennessee,187149,43922,29664,4278,14164,15653,136,17819,65383,16426,30336,2,0,0,0.7,B,0,0,0,0,0,A,7.4,PASS
Williamson,Tennessee,231729,63088,30480,6144,16798,18454,168,20589,76951,8794,36349,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wilson,Tennessee,140625,33332,22065,3246,10622,11749,102,13362,49002,10888,21561,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bell,Texas,355642,98517,38585,7796,19075,14784,176,21459,90216,44865,196139,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bexar,Texas,1986049,507669,240621,40173,110192,88909,983,129620,525960,334215,1442742,19,1,0,6.8,F,1,0,0,0,0.3,B,8.1,PASS
Bowie,Texas,94324,22392,15605,1772,5410,4910,47,7256,26496,16794,34759,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,INC,INC
Brazoria,Texas,370200,97945,43678,7751,20416,16784,184,24485,98047,36342,199319,13,2,0,5.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Brewster,Texas,9267,1744,2144,138,568,574,5,859,2847,1475,4601,0,0,0,0,A,INC,INC,INC,INC,INC,INC,INC,INC
Cameron,Texas,423908,128553,57415,10173,22072,18937,209,27830,106653,117193,386787,0,0,0,0,A,1,0,0,0,0.3,B,9.9,PASS
Collin,Texas,1005146,260476,110655,20612,55957,45454,497,66141,268418,64180,442771,27,0,0,9,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dallas,Texas,2637772,689692,283154,54576,145314,114140,1305,165674,690633,368310,1882256,23,1,0,8.2,F,3,2,0,0,2,C,8.9,PASS
Denton,Texas,859064,211996,87414,16776,48448,37934,425,54957,230539,62151,357924,33,1,0,11.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ector,Texas,162124,48856,15760,3866,8401,6381,81,9232,39595,20485,110649,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Ellis,Texas,179436,47950,22981,3794,9893,8426,89,12341,47889,15609,71985,8,0,0,2.7,D,1,0,0,0,0.3,B,8.4,PASS
El Paso,Texas,840758,228000,103092,18042,45680,37224,416,54345,218435,169120,742873,28,2,0,10.3,F,1,0,0,0,0.3,B,9.1,PASS
Galveston,Texas,337890,81893,48605,6480,19293,16919,167,24872,93965,40109,145198,20,0,1,7.3,F,1,0,0,0,0.3,B,6.6,PASS
Gregg,Texas,123707,31951,19016,2528,6889,6126,61,9034,33583,18108,53082,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Harris,Texas,4698619,1251684,494264,99047,257086,201143,2328,291795,1220954,767367,3331840,50,10,1,22.3,F,3,0,0,0,1,C,10.2,PASS
Harrison,Texas,66726,16865,11277,1335,3765,3506,33,5194,18563,9584,24559,0,0,0,0,A,1,0,0,0,0.3,B,8.5,PASS
Hidalgo,Texas,865939,281965,96025,22312,43404,34745,428,50647,206610,256985,813576,0,0,0,0,A,4,0,0,0,1.3,C,10.7,PASS
Hood,Texas,60537,12905,14870,1021,3624,3874,30,5825,18450,6108,9997,9,0,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hunt,Texas,96493,23183,15282,1835,5529,5001,48,7381,27097,12715,28005,3,1,0,1.5,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,Texas,255001,61181,36809,4841,14538,12545,127,18429,70443,44682,153437,12,1,0,4.5,F,INC,INC,INC,INC,INC,INC,INC,INC
Johnson,Texas,171361,44541,24219,3525,9548,8358,85,12288,46465,17965,49428,19,1,0,6.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kaufman,Texas,128622,35656,15367,2822,6979,5805,64,8480,33601,14539,48638,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kleberg,Texas,31129,7540,4029,597,1739,1363,16,1986,8213,7369,24948,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Lubbock,Texas,307412,73288,38200,5799,17342,13670,152,19906,82197,52037,144425,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
McLennan,Texas,254607,62861,36615,4974,14300,12114,126,17783,68872,46457,112971,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Maverick,Texas,58485,18246,6916,1444,2996,2445,29,3571,14321,14859,56911,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Montgomery,Texas,590925,155734,77263,12323,32775,28127,293,41232,158939,54400,206109,21,1,0,7.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Navarro,Texas,49565,13139,8429,1040,2751,2582,25,3829,13586,9739,22112,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Nueces,Texas,362265,88977,52215,7041,20476,17631,179,25902,99120,57694,257166,0,0,0,0,A,0,0,0,0,0,A,9.1,PASS
Orange,Texas,83572,20764,13466,1643,4739,4328,41,6396,23270,11101,16403,7,0,0,2.3,D,INC,INC,INC,INC,INC,INC,INC,INC
Parker,Texas,138371,34364,21302,2719,7876,7176,69,10589,38720,11289,23629,6,2,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Polk,Texas,50031,10088,9422,798,3035,2924,25,4342,15111,6834,14622,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Potter,Texas,119648,32848,14922,2599,6489,5377,60,7862,31166,22262,67678,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Randall,Texas,136271,32501,20536,2572,7765,6729,67,9898,37611,11343,39839,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rockwall,Texas,100657,27150,12594,2148,5543,4733,50,6930,26873,5125,29939,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Smith,Texas,230221,56582,38010,4477,13044,11827,114,17486,63841,33744,93682,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tarrant,Texas,2084931,549063,235187,43448,114981,92803,1030,135089,549979,248032,1127499,34,4,0,13.3,F,0,0,0,0,0,A,8.6,PASS
Travis,Texas,1248743,270726,123395,21423,72560,53877,621,77667,340744,146724,638924,10,0,0,3.3,F,4,0,0,0,1.3,C,9.8,PASS
Victoria,Texas,92035,23330,14822,1846,5156,4636,45,6849,25181,13855,51251,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Webb,Texas,275910,90830,26087,7187,13761,10588,136,15337,65071,69860,266071,0,0,0,0,A,INC,INC,INC,INC,INC,INC,INC,INC
Box Elder,Utah,54950,17430,7109,957,3530,1692,14,2478,9591,3986,7168,7,1,0,2.8,D,16,1,0,0,5.8,F,7.7,PASS
Cache,Utah,127068,38511,12009,2113,8181,3394,32,4570,21648,15830,21173,2,0,0,0.7,B,26,4,0,0,10.7,F,7.6,PASS
Carbon,Utah,20269,5227,3530,287,1424,731,5,1119,3912,2853,3437,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Davis,Utah,351713,112970,35317,6200,22328,9983,90,13898,60011,19798,58000,39,1,0,13.5,F,15,0,0,0,5,F,8.3,PASS
Duchesne,Utah,19964,6720,2408,369,1244,587,5,852,3370,2335,3002,19,6,0,9.3,F,4,0,0,0,1.3,C,6.3,PASS
Garfield,Utah,5080,1183,1175,65,372,208,1,335,1036,551,604,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Iron,Utah,52775,15317,6700,841,3498,1606,13,2310,9418,7444,7456,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Salt Lake,Utah,1152633,312889,125157,17171,78549,35187,294,49059,211172,102660,338240,74,2,0,25.7,F,27,5,0,0,11.5,F,8.8,PASS
San Juan,Utah,15449,4719,2187,259,1014,502,4,747,2772,3419,8706,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Tooele,Utah,69907,22807,6403,1252,4409,1955,18,2687,11849,4744,11984,27,1,0,9.5,F,7,0,0,0,2.3,D,7,PASS
Uintah,Utah,35438,11754,3855,645,2219,1016,9,1442,5985,4031,6636,11,11,4,11.8,F,0,0,0,0,0,A,INC,INC
Utah,Utah,622213,207710,48050,11399,38230,15362,159,20064,100766,57136,111686,35,2,0,12.7,F,22,10,0,0,12.3,F,8.3,PASS
Washington,Utah,171700,44808,36844,2459,12001,6463,44,10322,33138,16435,27119,2,0,0,0.7,B,0,0,0,0,0,A,5.2,PASS
Weber,Utah,256359,72484,29897,3978,17237,7912,65,11229,46518,23839,62335,40,1,0,13.8,F,18,3,0,0,7.5,F,8.3,PASS
Bennington,Vermont,35631,6756,8162,594,3459,1970,22,2515,13048,3905,2237,3,0,0,1,C,0,0,0,0,0,A,5.4,PASS
Chittenden,Vermont,164572,29165,24673,2565,16693,7144,100,8950,58135,16039,19535,0,0,0,0,A,0,0,0,0,0,A,5.7,PASS
Rutland,Vermont,58672,10438,12955,918,5799,3220,36,4097,21696,5842,2844,0,0,0,0,A,0,0,0,0,0,A,6.9,PASS
Albemarle,Virginia,108718,21528,20248,1541,7402,5761,62,7598,33294,8912,25438,1,0,0,0.3,B,0,0,0,0,0,A,6.5,PASS
Arlington,Virginia,237521,42959,25209,3075,16811,10477,137,12482,70137,14842,92122,12,0,0,4,F,1,0,0,0,0.3,B,7.5,PASS
Caroline,Virginia,30772,7079,5050,507,2023,1573,18,2046,9070,2930,11221,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Charles City,Virginia,6941,1052,1708,75,497,450,4,617,2358,851,3976,2,0,0,0.7,B,0,0,0,0,0,A,6.6,PASS
Chesterfield,Virginia,348556,82795,52028,5926,22775,17231,200,22099,101027,26093,135536,1,0,0,0.3,B,0,0,0,0,0,A,INC,INC
Fairfax,Virginia,1150795,269162,154840,19264,75830,55228,663,69580,331792,69377,572332,7,0,0,2.3,D,1,0,0,0,0.3,B,6.8,PASS
Fauquier,Virginia,70675,16513,11620,1182,4632,3700,41,4821,20927,4260,14578,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Frederick,Virginia,88355,20386,15264,1459,5793,4610,51,6050,26189,6107,15357,0,0,0,0,A,0,0,0,0,0,A,7.4,PASS
Giles,Virginia,16844,3486,3681,249,1127,971,10,1320,5258,2064,916,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hanover,Virginia,107239,23572,19032,1687,7135,5786,62,7612,32443,5509,17456,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Henrico,Virginia,329261,74272,51045,5316,21816,16448,188,21162,96753,29502,155803,4,1,0,1.8,C,0,0,0,0,0,A,7.1,PASS
Loudoun,Virginia,406850,115028,37802,8232,25338,17141,234,20642,107899,14700,181773,1,0,0,0.3,B,0,0,0,0,0,A,7.1,PASS
Madison,Virginia,13295,2706,2959,194,894,783,8,1067,4192,1330,2060,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Prince Edward,Virginia,22950,3767,3779,270,1635,1148,13,1467,7110,3782,8956,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Prince William,Virginia,468011,127210,46319,9104,29535,19997,270,24216,125932,29545,271371,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Roanoke,Virginia,94073,18648,20151,1335,6372,5386,54,7282,29518,6145,13644,0,0,0,0,A,0,0,0,0,0,A,6.7,PASS
Rockbridge,Virginia,22752,3985,5909,285,1571,1431,13,1991,7502,2670,1850,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rockingham,Virginia,81244,17785,15472,1273,5384,4367,47,5811,24549,6909,9513,1,0,0,0.3,B,0,0,0,0,0,A,7,PASS
Stafford,Virginia,149960,39088,15674,2798,9603,6614,87,8062,41164,7822,59400,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wythe,Virginia,28754,5672,6213,406,1951,1677,17,2270,9087,4391,1841,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bristol City,Virginia,16482,3323,3476,238,1111,927,9,1250,5126,3324,2002,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.3,PASS
Hampton City,Virginia,134313,28086,20745,2010,9084,6645,77,8504,39923,19954,83471,2,0,0,0.7,B,0,0,0,0,0,A,6.2,PASS
Lynchburg City,Virginia,82126,15946,11823,1141,5651,3731,47,4677,24116,14789,30887,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.5,PASS
Norfolk City,Virginia,244076,47785,27334,3420,16914,10590,142,12740,70764,41471,138496,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.7,PASS
Richmond City,Virginia,228783,40064,30172,2867,16219,10813,131,13347,69163,48424,133599,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
Salem City,Virginia,25643,5115,4836,366,1743,1382,15,1828,7886,2280,3845,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.2,PASS
Suffolk City,Virginia,91185,22132,13164,1584,5924,4454,52,5689,26212,9846,46396,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Virginia Beach City,Virginia,450189,99573,64004,7126,30059,21541,259,27256,131107,33084,174180,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.7,PASS
Benton,Washington,201877,54000,30097,3947,14191,7540,109,11647,56098,19597,61006,16,0,0,5.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Chelan,Washington,77036,18022,14696,1317,5705,3281,41,5208,22956,8283,25025,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Clallam,Washington,76737,13055,22720,954,6220,4140,41,6931,25971,9968,13411,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clark,Washington,481857,115356,74530,8432,35315,19006,259,29262,139895,41980,106021,4,0,0,1.3,C,9,3,0,0,4.5,F,7.5,PASS
King,Washington,2233163,452859,295110,33103,169665,83663,1202,125808,660298,202628,918713,12,6,0,7,F,11,7,0,0,7.2,F,8.4,PASS
Kitsap,Washington,269805,55252,48094,4039,20627,11319,145,17733,82143,23613,64009,DNC,DNC,DNC,DNC,DNC,6,3,0,0,3.5,F,4.6,PASS
Kittitas,Washington,47364,8096,7592,592,3720,1867,25,2890,14557,7049,7694,DNC,DNC,DNC,DNC,DNC,17,6,2,0,10,F,8.1,PASS
Okanogan,Washington,42132,9769,9094,714,3150,1916,23,3087,12841,7049,14878,DNC,DNC,DNC,DNC,DNC,7,22,1,1,14.8,F,INC,INC
Pierce,Washington,891299,209270,123135,15297,65285,33364,479,50668,255881,76391,300347,4,0,0,1.3,C,9,9,0,0,7.5,F,7.7,PASS
Skagit,Washington,128206,27977,26591,2045,9695,5695,69,9131,39219,12239,33368,0,0,0,0,A,3,3,0,0,2.5,D,5.8,PASS
Snohomish,Washington,814901,184547,109768,13490,60643,31252,439,47028,237856,60590,253858,DNC,DNC,DNC,DNC,DNC,21,7,0,0,10.5,F,7.4,PASS
Spokane,Washington,514631,114051,83279,8337,38439,20536,277,31830,152153,65365,80882,5,0,0,1.7,C,13,7,4,0,10.5,F,9.6,PASS
Stevens,Washington,45260,9761,10542,714,3486,2207,24,3565,14335,6045,6148,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Thurston,Washington,286419,61378,49514,4487,21625,11787,154,18417,85986,24459,72841,2,1,0,1.2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Whatcom,Washington,225685,43910,39158,3210,17350,9201,121,14405,68644,32753,48048,2,0,0,0.7,B,6,3,0,0,3.5,F,5.1,PASS
Yakima,Washington,251446,74480,34524,5444,16911,8764,135,13490,66527,40961,144155,DNC,DNC,DNC,DNC,DNC,25,15,3,0,17.8,F,9.8,PASS
Berkeley,West Virginia,117123,27230,17175,2564,11106,13146,90,12598,44556,13275,18798,1,0,0,0.3,B,0,0,0,0,0,A,8.4,PASS
Brooke,West Virginia,22203,3930,5290,370,2254,2944,17,3065,9087,2930,960,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.9,PASS
Cabell,West Virginia,93224,18395,17542,1732,9088,10935,71,10978,36949,17242,9240,3,0,0,1,C,0,0,0,0,0,A,7.9,PASS
Gilmer,West Virginia,8026,1150,1405,108,832,963,6,942,3388,1521,1521,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greenbrier,West Virginia,34786,6747,8099,635,3462,4526,27,4707,13947,5389,2629,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hancock,West Virginia,29094,5507,6722,518,2928,3844,22,3977,11751,3788,1887,1,0,0,0.3,B,0,0,0,0,0,A,8.1,PASS
Harrison,West Virginia,67554,14434,13140,1359,6564,8245,52,8303,26388,11089,3999,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.4,PASS
Kanawha,West Virginia,180454,36012,37272,3390,17804,22511,138,22891,71723,30248,22283,4,0,0,1.3,C,0,0,0,0,0,A,8,PASS
Marion,West Virginia,56097,11260,10963,1060,5486,6757,43,6819,22200,9084,3920,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
Marshall,West Virginia,30785,5950,6886,560,3077,3999,24,4117,12362,4200,1036,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,9.1,PASS
Monongalia,West Virginia,106420,17326,13448,1631,10630,11212,82,10415,43605,18156,12690,0,0,0,0,A,0,0,0,0,0,A,7.2,PASS
Ohio,West Virginia,41755,7937,9105,747,4149,5265,32,5413,16774,4953,3266,4,0,0,1.3,C,0,0,0,0,0,A,7.9,PASS
Tucker,West Virginia,6955,1077,1821,101,729,978,5,1030,2930,907,192,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wood,West Virginia,84203,17621,17209,1659,8236,10477,64,10640,33099,12449,4141,1,0,0,0.3,B,0,0,0,0,0,A,7.9,PASS
Ashland,Wisconsin,15600,3409,3055,288,1106,688,9,1008,5289,2356,2770,0,0,0,0,A,0,0,0,0,0,A,4.2,PASS
Brown,Wisconsin,263378,62704,39133,5291,18474,10344,155,14360,85354,21944,50989,4,0,0,1.3,C,0,0,0,0,0,A,6.4,PASS
Columbia,Wisconsin,57358,12182,10250,1028,4125,2509,34,3570,19536,4255,4325,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dane,Wisconsin,542364,110624,74433,9334,39978,20486,320,28078,180405,57062,112124,1,0,0,0.3,B,1,0,0,0,0.3,B,8.1,PASS
Dodge,Wisconsin,87847,17436,15497,1471,6440,3857,52,5459,30355,7283,9064,5,0,0,1.7,C,2,0,0,0,0.7,B,6.8,PASS
Door,Wisconsin,27610,4489,8215,379,2040,1508,16,2383,10381,2289,1729,15,0,0,5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Eau Claire,Wisconsin,104534,21327,16374,1800,7656,4078,62,5768,34984,12906,10793,1,0,0,0.3,B,0,0,0,0,0,A,6.8,PASS
Fond du Lac,Wisconsin,103066,22030,19083,1859,7382,4488,61,6473,35010,9513,11054,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Forest,Wisconsin,8991,1751,2064,148,651,435,5,652,3186,1294,1912,0,0,0,0,A,0,0,0,0,0,A,4.2,PASS
Grant,Wisconsin,51554,10762,8895,908,3733,2096,31,3020,17323,6595,2645,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.3,PASS
Jefferson,Wisconsin,85129,17958,14436,1515,6152,3632,50,5123,28874,6701,8972,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kenosha,Wisconsin,169290,38674,23925,3263,12062,6735,100,9173,55586,19819,41338,34,5,0,13.8,F,0,0,0,0,0,A,7.1,PASS
Kewaunee,Wisconsin,20383,4385,4168,370,1448,930,12,1366,6989,1472,1176,11,1,0,4.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
La Crosse,Wisconsin,118230,23386,19399,1973,8710,4767,70,6773,40093,12334,12189,0,0,0,0,A,0,0,0,0,0,A,6.8,PASS
Manitowoc,Wisconsin,79074,16260,16193,1372,5689,3654,47,5346,27450,8124,7699,16,2,0,6.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Marathon,Wisconsin,135428,30846,23980,2603,9542,5763,80,8252,45138,10027,15552,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Milwaukee,Wisconsin,948201,227422,129003,19190,66630,35206,558,48385,303032,177263,464911,15,2,0,6,F,0,0,0,0,0,A,8,PASS
Outagamie,Wisconsin,187365,44129,27589,3724,13195,7426,111,10252,61012,13196,23793,3,0,0,1,C,0,0,0,0,0,A,6.3,PASS
Ozaukee,Wisconsin,89147,18995,17603,1603,6365,4025,53,5862,30559,3674,7944,21,3,0,8.5,F,0,0,0,0,0,A,6.3,PASS
Racine,Wisconsin,196584,45351,32460,3827,13852,8200,116,11550,65051,24084,55689,28,3,0,10.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rock,Wisconsin,163129,37701,27022,3181,11486,6747,96,9539,53847,17477,28620,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sauk,Wisconsin,64249,14644,11900,1236,4514,2766,38,4005,21463,5416,5915,2,0,0,0.7,B,0,0,0,0,0,A,6.5,PASS
Sheboygan,Wisconsin,115456,25431,20789,2146,8211,4980,68,7138,38889,8432,18681,32,4,0,12.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Taylor,Wisconsin,20412,4776,3905,403,1419,905,12,1312,6826,2072,929,0,0,0,0,A,0,0,0,0,0,A,5.5,PASS
Vilas,Wisconsin,21938,3711,6758,313,1602,1230,13,1949,8256,2359,3337,0,0,0,0,A,0,0,0,0,0,A,4.5,PASS
Walworth,Wisconsin,103718,21406,18334,1806,7523,4444,61,6344,35358,10114,15220,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Waukesha,Wisconsin,403072,86695,75190,7315,28805,17877,238,25691,137354,19937,47618,3,0,0,1,C,0,0,0,0,0,A,8.3,PASS
